cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,current_zscore,projected_zscore,projected_hi,projected_lo,category,indicator,timestamp,simulations
2020,President,polls-plus,9/12/2020,Trump,Biden,"",-.499685,-.2488059,.2303833,-.7279952,combined,Average of all six indicators,19:00:04 12 Sep 2020,40000
2020,President,polls-plus,9/11/2020,Trump,Biden,"",.7613009,.6596586,1.342738,-.0234205,stock market,S&P 500,19:00:03 11 Sep 2020,40000
2020,President,polls-plus,9/11/2020,Trump,Biden,"",-1.979027,-1.340327,-.6572475,-2.023406,spending,Personal consumption expenditures,19:00:03 11 Sep 2020,40000
2020,President,polls-plus,9/11/2020,Trump,Biden,"",-2.057216,-1.584688,-.9016092,-2.267767,manufacturing,Industrial production,19:00:03 11 Sep 2020,40000
2020,President,polls-plus,9/11/2020,Trump,Biden,"",-3.260423,-2.640823,-1.957744,-3.323902,jobs,Nonfarm payrolls,19:00:03 11 Sep 2020,40000
2020,President,polls-plus,9/11/2020,Trump,Biden,"",.6458718,.7204695,1.403549,.0373904,inflation,Consumer price index,19:00:03 11 Sep 2020,40000
2020,President,polls-plus,9/11/2020,Trump,Biden,"",2.891383,2.721056,3.404135,2.037977,income,Real disposable personal income,19:00:03 11 Sep 2020,40000
2020,President,polls-plus,9/11/2020,Trump,Biden,"",-.499685,-.244109,.2389008,-.7271189,combined,Average of all six indicators,19:00:03 11 Sep 2020,40000
2020,President,polls-plus,9/10/2020,Trump,Biden,"",.761175,.6579434,1.346558,-.0306709,stock market,S&P 500,21:47:02 10 Sep 2020,40000
2020,President,polls-plus,9/10/2020,Trump,Biden,"",-1.979027,-1.328492,-.6398779,-2.017107,spending,Personal consumption expenditures,21:47:02 10 Sep 2020,40000
2020,President,polls-plus,9/10/2020,Trump,Biden,"",-2.057216,-1.575766,-.8871521,-2.264381,manufacturing,Industrial production,21:47:02 10 Sep 2020,40000
2020,President,polls-plus,9/10/2020,Trump,Biden,"",-3.260423,-2.628957,-1.940343,-3.317571,jobs,Nonfarm payrolls,21:47:02 10 Sep 2020,40000
2020,President,polls-plus,9/10/2020,Trump,Biden,"",.6458718,.7219034,1.410518,.0332891,inflation,Consumer price index,21:47:02 10 Sep 2020,40000
2020,President,polls-plus,9/10/2020,Trump,Biden,"",2.891383,2.717309,3.405923,2.028695,income,Real disposable personal income,21:47:02 10 Sep 2020,40000
2020,President,polls-plus,9/10/2020,Trump,Biden,"",-.499706,-.2393433,.2475805,-.7262672,combined,Average of all six indicators,21:47:02 10 Sep 2020,40000
2020,President,polls-plus,9/9/2020,Trump,Biden,"",.8904973,.7810007,1.474848,.0871536,stock market,S&P 500,23:52:03  9 Sep 2020,40000
2020,President,polls-plus,9/9/2020,Trump,Biden,"",-1.979027,-1.242283,-.5484359,-1.93613,spending,Personal consumption expenditures,23:52:03  9 Sep 2020,40000
2020,President,polls-plus,9/9/2020,Trump,Biden,"",-2.057216,-1.50264,-.8087934,-2.196488,manufacturing,Industrial production,23:52:03  9 Sep 2020,40000
2020,President,polls-plus,9/9/2020,Trump,Biden,"",-3.260423,-2.572025,-1.878178,-3.265872,jobs,Nonfarm payrolls,23:52:03  9 Sep 2020,40000
2020,President,polls-plus,9/9/2020,Trump,Biden,"",.6458718,.7455913,1.439438,.0517442,inflation,Consumer price index,23:52:03  9 Sep 2020,40000
2020,President,polls-plus,9/9/2020,Trump,Biden,"",2.891383,2.74712,3.440968,2.053273,income,Real disposable personal income,23:52:03  9 Sep 2020,40000
2020,President,polls-plus,9/9/2020,Trump,Biden,"",-.4781523,-.1738726,.3167514,-.6644967,combined,Average of all six indicators,23:52:03  9 Sep 2020,40000
